"Hello World", "Ciao Mondo"
"Hello world Config.", "Ciao Mondo Config."
"Enabled or not", "Abilitato o no"
"Enabled?", "Abilitato?"
"Message", "Messaggio"
"Where is the message?", "Dov'è il messaggio?"
"Hello World 2", "Ciao Mondo 2"
"Zend to Magento", "Zend a Magento"
"Attempt", "Prova"
"Have you written something?", "Hai scritto qualcosa?"
